#PAGE_URL,resort-name,review-title,date,review
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,Greatest ski instructors ever!,Mar 2021 • Family,My kids were so fortunate to have ski lessons out of mountain village with Britt and Claudia! They learned so much and most importantly they had fun! Tom was wonderful coordinating everything along the way. Highly recommend!
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,"Reckless tourist skiers, no patrol or hosts keeping them in check",Mar 2021 • Family,"Nary a mountain host in sight to direct skiers, very few reminders of directions, slow zones, very little to no ski patrol visible on runs to remind people to ski in control. Two out of four people in my party were run over from behind by skiers on the same day. Second time was on a run that probably spanned five semis. An impact that broke my kids helmet. Of course a ticket says skiing is dangerous, I understand that part. However the downhill skier always has priority and any of us has an obligation to ski in control. In twenty years of skiing every week, I have never been hit by another skier. My reckless tourist comment is coming from a visitor! Reminders on lifts about safety or slow zones or ‘ski in control’ across runs help eliminate any confusion and this type of garbage skiing by visitors. Big Sky seems more concerned with maintaining the aesthetics than skier safety. I can’t recall even seeing a host or patroller out actually patrolling. Lots of terrain, just very little focus on maintaining skier safety on it."
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,Ski trip,Mar 2021 • Friends,Great runs and a big place. Skiing for all levels and pretty long runs. Some amazing views. Sone areas ate open but many are tree lined. Blue skies for us and a big time
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,, , , 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or20-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,Big Sky Resort,Helpful staff,Jan 2022 • Friends,The staff at this resort couldn’t be more helpful! Everyone is happy to make recommendations and help you where ever needed. Mack and Tavis from the hotel were exceptionally friendly! Will definitely be back!!
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,Breakfast at the base of Lone Peak,Jan 2022 • Family,Breakfast at peaks at Summit Hotel the best thanks to Ricardo and Irma going the extra mile and wonderful attitude they are the reason to have breakfast at peaks
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,Ski Big Sky,Jan 2022 • Family,Our family has been to many ski resorts throughout the U.S. and Big Sky by far is our favorite. This was our 4th trip to Big Sky. Lots of terrain. We generally go during the week to avoid weekend crowds.
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,Great views and terrific lifts,Dec 2021,"Big Sky Mountain was wonderful. The sights from the different trails are just gorgeous and the mountain did a good job of pushing people through. There were no lines at the lifts because they are able to get so many people up on the mountain so quickly. However, the rental lines were terrible. It took over an hour for my daughter to rent skis, boots and poles. It really slowed us down and could have been done so much more smoothly. Perhaps they just didn’t have enough staff. Overall, the mountain was wonderful though and the lodge was able to handle lots of people."
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,Great Ski Instructor,Dec 2021 • Family,"We had a wonderful trip with family. Despite a lack of natural snow, big sky did a great job creating terrain for a solid experience. I especially appreciated a fantastic lesson with “Big Dave” who helped me tremendously."
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,Beautiful stay and wonderful staff,Jul 2021,"Had a wonderful experience staying there this summer. The staff was especially helpful, and it was a lot of fun to learn where each of them were from. Zuki helped us at breakfast and we just adored them. Grace helped us get checked in and true to her name, was super gracious throughout our stay. Anna Marie was a total delight to be around and helped us when we were confused and lost. We met Michael as he was tidying our room and he is the definition of a team member who goes ""above and beyond"" -- any hospitality group would be lucky to have him; I hope they see that and think about how he can grow with this organization. People could learn a lot from him. We hope other people get to benefit from their experience with these fine people and wonderful resort the way we did."
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,Under par,Sep 2021 • Solo,For the cost of a round this place should have their stuff together. Let’s be fair and start with the pro shop staff. They were great. Then I was told to go down to the starter shack and I would be given a cart and my small bucket of balls. Nobody around for 10 mins so I grabbed both myself. Course was in pretty good shape so kudos to the grounds crew. Only issue was there were no signs letting you know what hole was what. On the back the cart paths cross cross a bit and with no signs I played the wrong hole. 16 instead of 11. Turned around and finished. Really wide open with few trees. Pretty coarse but should be $60 not the $80 I paid after 3pm. Includes cart. Play it but don’t expect too much.
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,Beautiful Setting,Jun 2021,"We were here in June and the setting was breathtakingly beautiful. The room was not fancy, but was clean and met our needs well. Enjoyed our stay. Would definitely return."
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,Big Sky Resort,Jul 2021,"We were at the Huntley lodge and were extremely disappointed at the cleanliness of the rooms ( we had two). I don't think they have ever vacuumed under the beds! Decor is very very dated, needs paints, carpet needs to be change etc., etc.. I do hope for the sake of Chet Huntley after whom this lodge is named for since it was his dream to build this resort (unfortunately passed away before it was completed), that renovations will be done to get it into a better state. No house cleaning service unless we asked for it and even then it was very bare minimal"
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,Great place EXCEPT whitewater inn,Aug 2021 • Family,"Basecamp has a lot of neat activities for kids- $45 to try them all was not exactly a steal, but our daughter had fun. The zip lining is amazing- so perfectly situated above the trees. Fair warning though- it’s quite a hike up, maybe 3/4 mile? It’s nice they include the chairlift with your stay. Pretty views. \n\nBUT whitewater inn is just NOT big sky resort. Not as nice or updated, way far out of the way (15 min drive plus parking and walking to the base), and certainly nowhere near the nice service. I wish I’d known this before booking, but I wasn’t at all familiar with the area or the levels of places to stay, so saying it here."
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,, , , 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,Big Sky Resort,Spring break ski trip,Mar 2021 • Family,"Second visit to Big Sky. First time was in 2017 and we loved the massive terrain and non-existent lift lines. After visiting Park City, Deer Valley, Beaver Creek and Vail, we were excited to head back this year. Thought it would be the perfect place to avoid crowds especially with COVID. A lot has changed. Massive crowds at the base with longer lines at Ram Charger &amp; Swift Current than we encountered at the other resorts. Headed to the Moonlight side thinking may be less crowded over there. Six Shooter was just as bad most days with the line going uphill on both sides it was so long! Still love the beauty of Big Sky and the views of Lone Peak and the surrounding mountains are amazing. With that said, will likely wait until planned upgrades to their lifts occur before returning."
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,Mountain Sports School 10/10,Mar 2021 • Solo,I took a absolute beginners half day group snowboarding lesson and it was great! Learning to snowboard was much harder than I thought it would be. Rick was my instructor and he really helped me grasp the concept of snowboarding. I would definitely recommend taking a lesson.
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,Big Sky Has it All.,Mar 2021 • Couples,"This was my first time skiing Big Sky. It won't be my last.\n\nI have wanted to come to Big Sky for years. I mad a point to make it happen this year.\n\nFirst, the resort was easy to get to. It is an hours drive from Bozeman International Airport. And the drive is very scenic. \n\nSecondly, the resort village is very accessible from our hotel.\n\nThird, lift lines were not terribly long.\n\nBig Sky Mountain is huge with lots of freshly groomed, skiable terrain. It is so spread out and uncrowded that often times, we didn't see very many people on the runs.\n\nWe thoroughly enjoyed Big Sky Ski resort."
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,In love!,Mar 2021 • Couples,"Absolutely love this mountain! Great runs, good grooming, nice staff, only thing that would have made the trip better is more snow!!!"
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,Great mountain but crowded lift lines,Mar 2021 • Couples,"Crowd was the least thing I expected to this Montana resort. But I was wrong. Its main lift, swift current express 4, desperately needs to be upgraded to dramatically increase the capacity. The planed 6-seat replacement next season will help but probably not be enough. The resort’s long term plan includes a 10-seat gondola parallel to this lift. It may take years to be done. \n\nThe mountain is vast and runs are well balanced between triple black diamond terrain and long green runs. The scenery is stunning. The snow is true Rocky Mountain powder. In general this is one the best ski mountains in North American. Hopefully it’s lift system can match the mountain soon. \n"
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,Terrian and conditions from first timer to expert,Mar 2021 • Couples,"The US largest sky area is very impressive. I think you could ski for a week and never experience the same run twice. Big Sky is a great family resort or retreat for friends or couples! Plenty of accommodations to choose from, including the luxury ski in ski out to the more off the beaten pass!!! \n"
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,Bid and FUN!,Mar 2021,"I was only able to spend 4 days at Big Sky. \nIt is so big that 4 days seems like a good start, but not a chsnce to ski every trail or even every part of the Resort. The Dakota Lift was not open when I was there, and it's like another whole ski area with a lot of runs, when it is open! \nLiberty Bowl is very accessible even to a beginner, if you exit on the catwalk at the top of the chairlift. The Yurt &amp; grill opens at 10:30 and ends at 3:30 PM - a good alternative for a food bresk without the croud at the Mountain Base. GO TO BIG SKY. It is really worth it."
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,Terrible crowd control,Mar 2021 • Friends,"I’ve been skiing Big Sky for nearly 20 years and have to say today was one of my worst day ever despite a bluebird day. \n\nSix shooter was about a 30-45 minute wait. \n\nCrowds were HORRIBLE and I was nearly taken out 3 times on Fast Lane which gets you from Moonlight to the BS base area. Totally NUTZ. Too many people, too many out of control skiers, plus the beginners... and the straight lining yahoos trying to get somewhere. \n\n I did call customer service at Big Sky to suggest some control fencing on Fast Lane so we shall see what happens. \n\nBe safe everyone!"
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,Great Resort for Skiing,Feb 2021 • Family,"Checked off a box on my bucket list by skiing the West. We decided on Big Sky and we don’t regret it in any way. The skiable terrain is HUGE! We skied two days and didn’t come close to skiing everything we wanted to ski and we only skied the blue squares and the green circles. The advanced and expert runs were too challenging for our abilities but if you have that level of skill, I can’t imagine the amount of runs and the degree of challenge available would disappoint. Four mountains covered with an impressive number of lifts kept the lines quite reasonable, and many of times we had no wait at all, especially away from the resort’s main base area. We stayed in a condo a few miles down the road from the resort village, but did visit several shops and hotels, all of which measured up with expectations. We will be back!"
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,"Huge trail network, no lines",Feb 2021,"The snow was perfect, and the heated chairlifts were luxury. The food at the base area was really good, and they are friendly throughout. I really appreciated how they made me feel safe by being proactive about face masks and social distancing. Good job."
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,, , , 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
https://www.tripadvisor.com/Attraction_Review-g45082-d107415-Reviews-or30-Big_Sky_Resort-Big_Sky_Montana.html,,,, 
