Tripadvisor,Whitefish Mountain Resort,Jul-17,4,"I'll be the first one to admit the hike to the top was MUCH more challenging than I had anticipated, but the views along the way make it worth the effort. My wife and I were visiting some locals and they suggested the hike. They have done many different hikes on this mountain; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,4,"Great skiing in a friendly atmosphere. Summer alpine slide, zip line and summit chairlift are good family activities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jun-17,4,"Access to chair lift, zip lines nature hikes and other outdoor activites. great way to view the Valley and lake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,4,"This is a great spot for an afternoon. We took the gondola to the top of the mountain which had wonderful views of the local area and to the mountains in the distance. There are plenty of walks at the top, or the more adventurous can hire a bike and ride down. There is also a; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,5,"we enjoyed taking the scenic tram to the top for a nice drink, while the kids spend hours on the Adventure Park. They loved it. They also have Zipline and mnt biking. The base lodge also had a great place to sit and have a drink while kids played. It was a day well spent and; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,4,"So many good things about the resort but if you plan to eat there, think twice. Disappointing fare with below average taste, presentation and customer service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Dec-16,5,"Only a 15 min drive from the town up to the parking lots.It didn't stop snowing the whole time we were there, it was amazing conditions. The top gets white outs a lot, but I don't mind it. There tons of fun runs, but some of the blue runs should be green. A few spots are more; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,4,"We had fun riding the chair lift to the top. Beautiful day, great views and I was almost inspired to ride a mountain bike back down the slopes. Almost. Bar and gift shop at summit was disappointing. Could have used a hot chocolate. Horse flies liked me too. I would return to ski; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Feb-17,4,"Do you need to *really* get away from it all? Are the ski resorts just a couple hours from the big city, fighting the traffic jams just not doing it for you anymore? Do you need a big mountain far away (but not as far as Everest) with views in all directions, including views; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,5,"We went up to the Whitefish Mountain Resort for a few hours on our Montana trip. Just had to spend some time, acting like a couple kids. OK. Kind of old kids. The first thing I want to share with you is the Alpine Slide: they said that ""The Alpine Slide is fun for all ages,; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,4,"We stayed for a week as part of a large organised group. We stayed at hibernation house. It was quite basic, could do with some modernisation really. The breakfast was ok, adequate for our requirements we felt. There wasn't a bar in our accommodation but there was a lounge; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,4,"This was my first time on a zip line course and it was memorable and I would recommend it to anyone that is in/near/around Whitefish, MT. I booked the tour for the same day that I was calling and they had availability for three. The guides are friendly, the views are; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,4,Quite a line up for the ski lift but moving immediately if you chose the gondola. Lots of children and adults riding up with their bikes to free-wheel back down - the bike trail makes an ugly scar on the mountainside. An amazing scenic ride to the top of Big Mountain on a summer; …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Feb-17,4,"Whitefish Mountain (also known as Big Mountain to locals) is great for skiing, snowboarding, snowshoeing, ski-hiking and learning how. Lessons are offered for all ages, with dedicated lesson area and run (Chair 9). Runs across the mountain have a good range, be prepared for some; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,4,Definitely worth a trip from town of Whitefish - then take the chair lift to the top of the mountain for some amazing views.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Aug-17,5,"The gondola ride is well worth the eleven bucks they charge for it. Terrific views from the top, especially of Whitefish Lake and the tall peaks in GNP. Can also hike down from the gondola and trails look good (we rode back down!). The ""alpine slide"" doesn't look too cool; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,4,"Becca and Ruth were awesome guides. All personnel were friendly, and safety was the top concern. The instructions were clear and as someone who had never zip lined, I was nervous at first, but the guides helped me to enjoy this activity. The only negative was the hiking. The; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,4,"We were a part of four and enjoyed our stay at this SKI resort. This is very well located to the Mountain, Skilift and Gondola. Further, this place is close to the whitefish city.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,3,I road the chairlift up the mountain while my husband and teens hiked up. Hike was difficult due to a part of the trail being closed and having a steep detour around.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Sep-16,3,Took a ride up the chair lift to see the views from the top of the mountain! We were the first people to pony up at the bar that day... we had a few drinks and enjoyed a gorgeous ride back down the mountain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,4,We had Rachel and Nick as our guides and they were very professional and so much fun. My first time zip lining and had an awesome experience. My fiancée loved it too.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,3,"I was terrified to ride the gondola as I have a massive fear of heights, but I had to get to the Summit House for a rehearsal dinner so I got in line. The lower operator couldn't have been nicer. He was so helpful that I jumped right in and up the mountain I went. The views; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,3,"Scheduled zip line, alpine slide &amp; chair lift to the summit. We had an excellent time on the zip tour (Ben &amp; Alyssa were great!). First time for me and two teenage boys. Note, if you exceed the weight of 230 you don't go... they weigh you (safety). We felt very safe and; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,3,We took the lift to the top of the mountain and were rewarded with tremendous views of the area. The walk down the mountain was easy and the real highlight was the abundant fields of beargrass. Spectacular. We also rode the Alpine slide a couple of times. I would recommend; …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Aug-17,4,"Awesome runs for downhill. Great way to spend a day on the mountain. Hardly any lineups for chairlift. Lodging reasonable rates, but they need A/C. Suite was very hot and had hard time cooling it down for night. But a good time had by all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Aug-17,5,We went for hike from village to the resort at the top. Well marked pathway to the top - very tough. Took us 1hr 45 min. Choice of walking back down or taking Gondola. We walked - approx. 1hr 20 min.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Aug-17,4,"We took the lift up to the hiking trail Danny On and hiked the 2000 feet downhill. We also picked up the flower pot loop which is a must and turned out to be the best part of the trail. We saw a grouse, a mouse, chipmunks, deer and lots of birds. We were constantly on the; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Aug-17,4,"We took a round trip ride on the chair lift. The views were just beautiful up and down, and the ride was longer than expected, in a good way. One of the best views of GNP at the top. The ski resort is just a few minutes' drive from Whitefish. Highly recommend the chair lift; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,4,"We love Whitefish Mountain - just a word of caution. After a wonderful lesson last year,my son and grandson were ready for another this summer. Since a lesson time wasn't available for a few days,they rented equipment, (full-faceguard helmets too) and thought they'd try a few; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,4,"If you read my other reviews...this one will be short for sure. This zip line was stunning, beautiful, fast velocity, long in time/length, and terrific. Do the mile plus total length zip! Do it, now! It is so worth the money and will ruin you for most all forest zips, except; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Sep-17,3,Drove to the resort to check it out. Beautiful place. We could see it from our rental house and wanted to take a closer look. We did go into the lodge hoping for breakfast but they only had a continental breakfast for the quest. Season hadn't started.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Aug-17,4,"The summer is typically pretty slow on the mountain, but here are tons of things to do. We had burgers at the summit enjoying the view of flathead valley. Then we took the kids on a hike where we picked huckleberries. Then at the end, we let the kids ride the alpine slide. One; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Sep-17,4,"We did a chair lift ride to the top, which was amazing the views were spectacular. If our children were older and more proficient at cycling we would have hired bikes too. The runs down the mountain looked such fun. We also went on the toboggans down the hillside.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Aug-17,3,"We went here in August and it was 90 the day we came. By the time we got to the top it was 68. The tram is terrifying, but had ""Gondola Cars,"" and may not have been bad. We enjoyed our time there and the place seemed to have plenty of mountain bikers and hikers. We did not; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Feb-18,4,"I'm an avid snowboarder who travels regularly during the winter months. I cannot believe I had not been to Whitefish before. This mountain is second to none in the U.S. A huge amount of terrain, sidecountry, backcountry. You name it, Whitefish has it. Go see for yourself!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Feb-18,5,Best snow in the country in Feb 2018. Lots of intermediate terrain for skiers/boarders. Even the food was good (often not a priority at ski resorts). Visibility can be poor at the summit if it's snowing (which is often). Take the free orientation tour of the trails on the; …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Mar-18,5,The slopes are great and well maintained with beginners to expert. Stay in bounds and ski with a friend...never alone. Is pricey in my opinion as is definitely for tourist .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Mar-18,4,"This was a family trip with adult children. The mountain was great for more restrained skiing as well as the ""go for it"" type. Visibility can be dicey near the top so watch the weather. So many nice, long runs, and no crowds. The food selection was pretty dismal but that's not; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Jul-17,3,We went there during the summer and took a ride up to the top of the hill. Pretty nice views and nice shop at the top of the hill. There was some kind of slide at the base to go down and it looked pretty fun but we didn’t have the time to go down.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Aug-17,3,Highly recommend summer or winter. Pleasantly surprised at the amount of activities for the summer. Great place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Aug-17,4,"Ok I will admit it - I was nervous and feeling trepidation as I put on my harness to zip line as I don't like heights. If you've ever been to Disneyland and ridden Mickey's Fun Wheel (which I call Mickey's Terror Wheel) - you will get a sense for my fear. Rest assured, these; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Aug-17,3,We went on the 7 zip line adventure. The guides were great- very friendly and safety conscious. Our youngest was at the lowest weight they allow (60lbs.) They took extra care with her and made sure she made it all the way across every time. It was challenging for them since; …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Aug-17,4,"Our family enjoys ski lift rides in a number of vacation destinations we go to. I must say the scenic lift at Whitefish Mountain Resort far surpassed our expectations. The least expensive and longest ride to date. The views from the ride, and the top, are spectacular. Highly; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Aug-17,3,"We booked lodging at Whitefish Mountain Resort, hoping to do a few of the summer activities. We stayed at Kintla Lodge, and found that the Upper Village was mostly deserted, I guess due to the construction on the grounds.. The coffee shop is open only from 8 - 10 am. Lunch is; …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripadvisor,Whitefish Mountain Resort,Dec-17,4,"Great staff, GREAT STAFF. The runs are really nice. I am still a novice so I haven't explored the whole mountain. The lobby is nice and comfy if you are done and waiting on someone to finish up skiing. They bar inside is a great addition.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
