Review Site,Ski Area,Review Date,class,Review Star Rating (out of 5),Review Text
Tripadvisor,Whitefish,17-Mar,positive,4,"Whitefish is known for its good snow, but I had not known there was so much diversity in its terrain. Hell-roaring Basin is just that, Good Medicine is better than good, and I am now sure there is much more to explore when more chairs and the Big Foot T-bar are running. Quite; …"
Tripadvisor,Whitefish,17-Feb,positive,4,We just got back from Whitefish and had a great week there. The ski area had a ton of snow and had something for everyone. We stayed at Morning Eagle which is a great ski in ski out condo. It could not have been closer. You can literally nearly ski into the ski locker area.; …
Tripadvisor,Whitefish,18-Jan,positive,4,"Our family went skiing at Whitefish Mountain Resort during the second week of January. Although we brought our own boots we had to rent skis and a snowboard. When we approached the rental line there was no one in line, whoop! Either the rental employees work really fast or we; …"
Tripadvisor,Whitefish,18-Jan,positive,4,My third winter visit over 20yrs and same conditions- soft snow turns to mashed potatoes when the inversions and fog and warmer temps invade! Skies even turn blue at close of day just to tease! Real reason to go- the lovely old town of Whitefish! Try a summer visit and arrive in; …
Tripadvisor,Whitefish,17-Dec,positive,5,"I spent two days skiing here in late December! Although i was warned that being a busy time of year it could get hectic for a new skier to learn but there was great staff and friendly people everywhere! Fresh snow, not crowded slopes! Lots of lifts and good skiing!!"
Tripadvisor,Whitefish,18-Jan,positive,4,"Whitefish Mountain Resort is a skiers paradise. From the unbelievable snow to the unparalleled panoramic views of Glacier National Park and Whitefish Lake, this must be what heaven feels like!!! But what really separates Whitefish Mountain Resort from the others is their; …"
Tripadvisor,Whitefish,18-Jan,positive,4,"What a gorgeous ski hill! Expert skiers will be in heaven with all the double black runs and beginners can take advantage of a dedicated learning area, out of the way of traffic. Lots of runs, huge ski area, excellent conditions Fast, comfortable chairlifts with short or no; …"
Tripadvisor,Whitefish,17-Jun,positive,4,"I visited the resort in June and did the scenic lift, alpine slide and zip line tour. Each was an amazing experience. The view from up top of the scenic lift is awe inspiring and the alpine slide is fun for all (most) ages. I loved the Zip line, it was a relaxing and very; …"
Tripadvisor,Whitefish,17-Jul,negative,3,Drove up to the mountain to sit in the sun and have a bite to eat. We did not expect to have such a great selection of food at this venue. The sandwiches we had were top notch and absolutely delicious. The coffee bar was wonderful. There are all kinds of activities going on; …
Tripadvisor,Whitefish,17-Jun,negative,3,Great place. Very scenic. Snow not a requirement. Great ride up gondola or chair lift. Other things to do for adventurous--mountain bike and hiking.
Tripadvisor,Whitefish,17-Jun,positive,4,"My husband and I traveled to Montana as part of a 3-generation party. We rented a condo managed by the resort, which allowed for plenty of privacy as well as a fully equipped kitchen and plenty of space to hang out. Activities we participated in included mountain biking (took a; …"
Tripadvisor,Whitefish,17-Jun,positive,4,"This is another place we bring visiting friends. You can either take the chairlift or the enclosed gondola to the summit for lunch and a beer or wine. Views are super! There are many activities on the mountain - something for everyone - like zip lines, alpine slide, aerial; …"
Tripadvisor,Whitefish,17-Aug,negative,3,Our family of 4 zip lined for the first time on Whitefish Mountain Resort. We bought the 7 zip line package and all had a blast! The crew that assisted us were outstanding and everything about our experience was perfect. I was very worried about going after I heard rumors that; …
Tripadvisor,Whitefish,17-Jul,negative,3,The biggest challege is getting up the mountain. It is very steep in places. I was thinking it must be very interesting navigating this road with snow on it. It is a very large ski facility. Our opening banquet was in the large dining area. The food was good but nothing; …
Tripadvisor,Whitefish,17-Jul,negative,3,Stayed here for 2 nights for a wedding. Check-in was very late but they did refund a cleaning deposit because of that. It was an average two-bedroom hotel-type room.
Tripadvisor,Whitefish,17-Jul,negative,3,"The gondola/chairlift ride up Big Mountain in summer is definitely worth the price. We didn't have time to take advantage of all the other activities at the resort, but spending some time at the top of the mountain was an exhilarating experience in itself. The bear grass was in; …"
Tripadvisor,Whitefish,17-Jul,negative,3,This was a fun stop for lunch. Pizza was yummy and unique with huckleberries and goat cheese! Enjoyed the ski lift ride and watching all the young families play!
Tripadvisor,Whitefish,17-Jan,positive,4,Great skiing! Best prices around. So close to affordable Whitefish with so many great restaurants and fun bars. Easy to walk around and bar-hop! Gotta love the free snow bus that takes you up and down all day and night. Fun fun fun!!
Tripadvisor,Whitefish,17-Jul,positive,4,"I'll be the first one to admit the hike to the top was MUCH more challenging than I had anticipated, but the views along the way make it worth the effort. My wife and I were visiting some locals and they suggested the hike. They have done many different hikes on this mountain; …"
Tripadvisor,Whitefish,17-Jul,positive,4,"Great skiing in a friendly atmosphere. Summer alpine slide, zip line and summit chairlift are good family activities"
Tripadvisor,Whitefish,17-Jun,positive,4,"Access to chair lift, zip lines nature hikes and other outdoor activites. great way to view the Valley and lake"
Tripadvisor,Whitefish,17-Jul,positive,4,"This is a great spot for an afternoon. We took the gondola to the top of the mountain which had wonderful views of the local area and to the mountains in the distance. There are plenty of walks at the top, or the more adventurous can hire a bike and ride down. There is also a; …"
Tripadvisor,Whitefish,17-Jul,positive,5,"we enjoyed taking the scenic tram to the top for a nice drink, while the kids spend hours on the Adventure Park. They loved it. They also have Zipline and mnt biking. The base lodge also had a great place to sit and have a drink while kids played. It was a day well spent and; …"
Tripadvisor,Whitefish,17-Jul,positive,4,"So many good things about the resort but if you plan to eat there, think twice. Disappointing fare with below average taste, presentation and customer service"
Tripadvisor,Whitefish,16-Dec,positive,5,"Only a 15 min drive from the town up to the parking lots.It didn't stop snowing the whole time we were there, it was amazing conditions. The top gets white outs a lot, but I don't mind it. There tons of fun runs, but some of the blue runs should be green. A few spots are more; …"
Tripadvisor,Whitefish,17-Jul,positive,4,"We had fun riding the chair lift to the top. Beautiful day, great views and I was almost inspired to ride a mountain bike back down the slopes. Almost. Bar and gift shop at summit was disappointing. Could have used a hot chocolate. Horse flies liked me too. I would return to ski; …"
Tripadvisor,Whitefish,17-Feb,positive,4,"Do you need to *really* get away from it all? Are the ski resorts just a couple hours from the big city, fighting the traffic jams just not doing it for you anymore? Do you need a big mountain far away (but not as far as Everest) with views in all directions, including views; …"
Tripadvisor,Whitefish,17-Jul,positive,5,"We went up to the Whitefish Mountain Resort for a few hours on our Montana trip. Just had to spend some time, acting like a couple kids. OK. Kind of old kids. The first thing I want to share with you is the Alpine Slide: they said that ""The Alpine Slide is fun for all ages,; …"
Tripadvisor,Whitefish,17-Jul,positive,4,"We stayed for a week as part of a large organised group. We stayed at hibernation house. It was quite basic, could do with some modernisation really. The breakfast was ok, adequate for our requirements we felt. There wasn't a bar in our accommodation but there was a lounge; …"
Tripadvisor,Whitefish,17-Jul,positive,4,"This was my first time on a zip line course and it was memorable and I would recommend it to anyone that is in/near/around Whitefish, MT. I booked the tour for the same day that I was calling and they had availability for three. The guides are friendly, the views are; …"
Tripadvisor,Whitefish,17-Jul,positive,4,Quite a line up for the ski lift but moving immediately if you chose the gondola. Lots of children and adults riding up with their bikes to free-wheel back down - the bike trail makes an ugly scar on the mountainside. An amazing scenic ride to the top of Big Mountain on a summer; …
Tripadvisor,Whitefish,17-Feb,positive,4,"Whitefish Mountain (also known as Big Mountain to locals) is great for skiing, snowboarding, snowshoeing, ski-hiking and learning how. Lessons are offered for all ages, with dedicated lesson area and run (Chair 9). Runs across the mountain have a good range, be prepared for some; …"
Tripadvisor,Whitefish,17-Jul,positive,4,Definitely worth a trip from town of Whitefish - then take the chair lift to the top of the mountain for some amazing views.
Tripadvisor,Whitefish,17-Aug,positive,5,"The gondola ride is well worth the eleven bucks they charge for it. Terrific views from the top, especially of Whitefish Lake and the tall peaks in GNP. Can also hike down from the gondola and trails look good (we rode back down!). The ""alpine slide"" doesn't look too cool; …"
Tripadvisor,Whitefish,17-Jul,positive,4,"Becca and Ruth were awesome guides. All personnel were friendly, and safety was the top concern. The instructions were clear and as someone who had never zip lined, I was nervous at first, but the guides helped me to enjoy this activity. The only negative was the hiking. The; …"
Tripadvisor,Whitefish,17-Jul,positive,4,"We were a part of four and enjoyed our stay at this SKI resort. This is very well located to the Mountain, Skilift and Gondola. Further, this place is close to the whitefish city."
Tripadvisor,Whitefish,17-Jul,negative,3,I road the chairlift up the mountain while my husband and teens hiked up. Hike was difficult due to a part of the trail being closed and having a steep detour around.
Tripadvisor,Whitefish,16-Sep,negative,3,Took a ride up the chair lift to see the views from the top of the mountain! We were the first people to pony up at the bar that day... we had a few drinks and enjoyed a gorgeous ride back down the mountain.
Tripadvisor,Whitefish,17-Jul,positive,4,We had Rachel and Nick as our guides and they were very professional and so much fun. My first time zip lining and had an awesome experience. My fiancée loved it too.
Tripadvisor,Whitefish,17-Jul,negative,3,"I was terrified to ride the gondola as I have a massive fear of heights, but I had to get to the Summit House for a rehearsal dinner so I got in line. The lower operator couldn't have been nicer. He was so helpful that I jumped right in and up the mountain I went. The views; …"
Tripadvisor,Whitefish,17-Jul,negative,3,"Scheduled zip line, alpine slide &amp; chair lift to the summit. We had an excellent time on the zip tour (Ben &amp; Alyssa were great!). First time for me and two teenage boys. Note, if you exceed the weight of 230 you don't go... they weigh you (safety). We felt very safe and; …"
Tripadvisor,Whitefish,17-Jul,negative,3,We took the lift to the top of the mountain and were rewarded with tremendous views of the area. The walk down the mountain was easy and the real highlight was the abundant fields of beargrass. Spectacular. We also rode the Alpine slide a couple of times. I would recommend; …
Tripadvisor,Whitefish,17-Aug,positive,4,"Awesome runs for downhill. Great way to spend a day on the mountain. Hardly any lineups for chairlift. Lodging reasonable rates, but they need A/C. Suite was very hot and had hard time cooling it down for night. But a good time had by all"
Tripadvisor,Whitefish,17-Aug,positive,5,We went for hike from village to the resort at the top. Well marked pathway to the top - very tough. Took us 1hr 45 min. Choice of walking back down or taking Gondola. We walked - approx. 1hr 20 min.
Tripadvisor,Whitefish,17-Aug,positive,4,"We took the lift up to the hiking trail Danny On and hiked the 2000 feet downhill. We also picked up the flower pot loop which is a must and turned out to be the best part of the trail. We saw a grouse, a mouse, chipmunks, deer and lots of birds. We were constantly on the; …"
Tripadvisor,Whitefish,17-Aug,positive,4,"We took a round trip ride on the chair lift. The views were just beautiful up and down, and the ride was longer than expected, in a good way. One of the best views of GNP at the top. The ski resort is just a few minutes' drive from Whitefish. Highly recommend the chair lift; …"
Tripadvisor,Whitefish,17-Jul,positive,4,"We love Whitefish Mountain - just a word of caution. After a wonderful lesson last year,my son and grandson were ready for another this summer. Since a lesson time wasn't available for a few days,they rented equipment, (full-faceguard helmets too) and thought they'd try a few; …"
Tripadvisor,Whitefish,17-Jul,positive,4,"If you read my other reviews...this one will be short for sure. This zip line was stunning, beautiful, fast velocity, long in time/length, and terrific. Do the mile plus total length zip! Do it, now! It is so worth the money and will ruin you for most all forest zips, except; …"
Tripadvisor,Whitefish,17-Sep,negative,3,Drove to the resort to check it out. Beautiful place. We could see it from our rental house and wanted to take a closer look. We did go into the lodge hoping for breakfast but they only had a continental breakfast for the quest. Season hadn't started.
Tripadvisor,Whitefish,17-Aug,positive,4,"The summer is typically pretty slow on the mountain, but here are tons of things to do. We had burgers at the summit enjoying the view of flathead valley. Then we took the kids on a hike where we picked huckleberries. Then at the end, we let the kids ride the alpine slide. One; …"
Tripadvisor,Whitefish,17-Sep,positive,4,"We did a chair lift ride to the top, which was amazing the views were spectacular. If our children were older and more proficient at cycling we would have hired bikes too. The runs down the mountain looked such fun. We also went on the toboggans down the hillside."
Tripadvisor,Whitefish,17-Aug,negative,3,"We went here in August and it was 90 the day we came. By the time we got to the top it was 68. The tram is terrifying, but had ""Gondola Cars,"" and may not have been bad. We enjoyed our time there and the place seemed to have plenty of mountain bikers and hikers. We did not; …"
Tripadvisor,Whitefish,18-Feb,positive,4,"I'm an avid snowboarder who travels regularly during the winter months. I cannot believe I had not been to Whitefish before. This mountain is second to none in the U.S. A huge amount of terrain, sidecountry, backcountry. You name it, Whitefish has it. Go see for yourself!!"
Tripadvisor,Whitefish,18-Feb,positive,5,Best snow in the country in Feb 2018. Lots of intermediate terrain for skiers/boarders. Even the food was good (often not a priority at ski resorts). Visibility can be poor at the summit if it's snowing (which is often). Take the free orientation tour of the trails on the; …
Tripadvisor,Whitefish,18-Mar,positive,5,The slopes are great and well maintained with beginners to expert. Stay in bounds and ski with a friend...never alone. Is pricey in my opinion as is definitely for tourist .
Tripadvisor,Whitefish,18-Mar,positive,4,"This was a family trip with adult children. The mountain was great for more restrained skiing as well as the ""go for it"" type. Visibility can be dicey near the top so watch the weather. So many nice, long runs, and no crowds. The food selection was pretty dismal but that's not; …"
Tripadvisor,Whitefish,17-Jul,negative,3,We went there during the summer and took a ride up to the top of the hill. Pretty nice views and nice shop at the top of the hill. There was some kind of slide at the base to go down and it looked pretty fun but we didn’t have the time to go down.
Tripadvisor,Whitefish,17-Aug,negative,3,Highly recommend summer or winter. Pleasantly surprised at the amount of activities for the summer. Great place
Tripadvisor,Whitefish,17-Aug,positive,4,"Ok I will admit it - I was nervous and feeling trepidation as I put on my harness to zip line as I don't like heights. If you've ever been to Disneyland and ridden Mickey's Fun Wheel (which I call Mickey's Terror Wheel) - you will get a sense for my fear. Rest assured, these; …"
Tripadvisor,Whitefish,17-Aug,negative,3,We went on the 7 zip line adventure. The guides were great- very friendly and safety conscious. Our youngest was at the lowest weight they allow (60lbs.) They took extra care with her and made sure she made it all the way across every time. It was challenging for them since; …
Tripadvisor,Whitefish,17-Aug,positive,4,"Our family enjoys ski lift rides in a number of vacation destinations we go to. I must say the scenic lift at Whitefish Mountain Resort far surpassed our expectations. The least expensive and longest ride to date. The views from the ride, and the top, are spectacular. Highly; …"
Tripadvisor,Whitefish,17-Aug,negative,3,"We booked lodging at Whitefish Mountain Resort, hoping to do a few of the summer activities. We stayed at Kintla Lodge, and found that the Upper Village was mostly deserted, I guess due to the construction on the grounds.. The coffee shop is open only from 8 - 10 am. Lunch is; …"
Tripadvisor,Whitefish,17-Dec,positive,4,"Great staff, GREAT STAFF. The runs are really nice. I am still a novice so I haven't explored the whole mountain. The lobby is nice and comfy if you are done and waiting on someone to finish up skiing. They bar inside is a great addition."
Tripadvisor,Whitefish,18-Feb,positive,4,"Snow, snow, and more snow!!!! Fresh powder everyday! Lines minimal, number one place for Blue skiers!!!! So many trails to the top. Only drawback was if you are a green, top hard to navigate."
Tripadvisor,Whitefish,18-Jan,positive,5,made our first trip out west to ski and board.Newark to Denver to Kalispel easy enough. half hour to mountain Big resort great trails and snow conditions. People made the trip.everyone was pleasant very laid back. Could stay right on mountain with village bars and restaurants.; …
Tripadvisor,Whitefish,18-Feb,positive,4,We come every winter for several weeks of snowboarding. Whitefish is a great place for families of all ages. The whole community is laid back and inviting. The instructors and staff are friendly and knowledgeable. The lodges are large and cozy. Food on the mountain is pricy but; …
Tripadvisor,Whitefish,18-Jan,negative,2,Great snow and grooming. Base lodge is clean and very nice. The mountain was not at all crowded. Headed back in early March!
Tripadvisor,Whitefish,18-Feb,negative,3,"My ski instructor colleague and I skied two days at Whitefish Mountain. Since we are over 70 we received free skiing. This is a major, destination ski area and as a wide variety of terrain and outstanding views of the Flathead Valley and Whitefish Lake. This year they have; …"
Tripadvisor,Whitefish,18-Feb,negative,3,"This is a great resort. Friendly people all around. Easy access to skiing, the spa, and downtown. Kids enjoyed the pool, hot tub, and walking around the lake."
Tripadvisor,Whitefish,18-Jan,negative,3,"We stayed here with a ski club. The food in the restaurant was excellent. The service was great, they were friendly and helpful, with good knowledge of the menu. Lots of interesting choices."
Tripadvisor,Whitefish,18-Jan,negative,3,"Big mountain is a nice, value, family friendly with good ski school. the fog, especially on top can limit views, and be a little intimidating, but pretty easy to stay in bounds and out of trouble. Great amount of snow when rest of west was dry"
Tripadvisor,Whitefish,18-Feb,negative,2,It seems like everywhere else in North America was in a snow drought so we headed here. Record deep snows were a welcome surprise but we still couldn’t see well due to fog. One chair visibility only. But great snow!!!lifts lodges and terrain much improved since last visit 30; …
Tripadvisor,Whitefish,18-Feb,negative,3,"Great resort, lots of snow. Kids took ski lessons, very happy with the instructors and how fast things were organized. We really enjoyed it."
Tripadvisor,Whitefish,18-Feb,positive,5,Lots of snow all through our stay but visibility can be really poor. great skiing and a well laid out resort
Tripadvisor,Whitefish,18-Feb,positive,4,We enjoyed 2days of fun skiing all over this mountain with lots of runs for intermediate level skiers like us; so much deep powder on the backside and ooff chair 4. I especially liked Inspiration ! The food down at the lodge near the village was excellent too and worth the wait.
Tripadvisor,Whitefish,18-Feb,positive,4,"Wonderful ski resort. Long runs, short lift lines. We enjoyed new snow each day we were there. The views of the valley are amazing. Look for the snow ghosts when you go😉"
Tripadvisor,Whitefish,18-Feb,positive,5,We have tried many places in Colorado but its been hit or miss with the snow....NOT HERE!!! Snowed every day and the skiing was fantastic. They need a gondola....Great town and the dining was pretty good as well.
Tripadvisor,Whitefish,17-Dec,negative,3,"The meatball sub is delicious! The meatball sandwich is assembled and baked with fresh mozzarella cheese and comes out crispy and tasty! The portion size is generous too. We tried the gravy fries - we're not Canadian, so maybe that's why they didn't taste good. Way too; …"
Tripadvisor,Whitefish,17-Dec,positive,4,"First time skiing in Montana after years of skiing in Utah and Colorado. We had a blast, didn't have to fight the crowds and snow was great and much less expensive compared to the fancy Colorado ski resorts. Will make Montana my ski destination for the future ."
Tripadvisor,Whitefish,18-Jan,positive,4,"We love the Base lodge! A fun and comfortable place to hangout. Indoor and outdoor fireplaces, good bar, good views, kind service, awesome terrain and good elevation. Buy your ski passes at Costco in Kalispell and save some $$$, plus get rental discounts and other benifits. Our; …"
Tripadvisor,Whitefish,17-Dec,positive,4,I have been here numerous times before. I have always enjoyed the skiing here. Lots of variety of runs and snow condition was great. Due to the amount of snow there was not much grooming o nt eh blue runs. That would have made it more enjoyable for my wife. The best part of; …
Tripadvisor,Whitefish,17-Dec,positive,5,"We visited the resort December 24 and 26, the conditions were awesome. the hill as many facilities and plenty of choice food and beverage wise. Staff were friendly and nothing was too much trouble. Will be back to do more skiing."
Tripadvisor,Whitefish,18-Jul,positive,5,"Great skiing, awesome trails for biking/hiking/running, huckleberry picking, and awesome views of the Glacier National Park, Whitefish Range and the Flathead Valley."
Tripadvisor,Whitefish,18-Jul,positive,4,This was on my bucket list and I loved it. The weather was beautiful and the scenery was stunning!! U have to experience this activity. It is definitely worth the money The employees were outstanding and so helpful. What a great all around experience!!! Go do it!!’
Tripadvisor,Whitefish,18-Jul,negative,3,WE went to the mountain park and tried the Zip line for the first time. It was great. The guides (Mat and Drew) were a lot of fun and very capable. The group was mostly middle aged adults who were a little intimidated but they put us to ease and tolerated our whining. You; …
Tripadvisor,Whitefish,18-Jul,negative,3,We booked a zip line tour. It was the second time for 3 of us and the first for the one. Our hosts were very friendly and it was a great experience. If you have time it is something that you should look at doing. The sites are incredible along with the fun of the zip line.
Tripadvisor,Whitefish,18-Jul,negative,3,"Zip lining here for the first time was so fun! Our guides, Ben and Keaton, were very energetic and awesome!"
Tripadvisor,Whitefish,18-Jul,positive,4,"This place caters to every age. You can be as active as you want. For the adventurers there is mountain biking, zip lining and an aerial playground. If you want to relax, grab a coffee and take a chairlift to enjoy a magnificent view. They is even a playground for the really; …"
Tripadvisor,Whitefish,18-Jun,positive,4,"Our flight landed in Kalispell, Montana in the early afternoon. Not quite ready to take on Glacier National Park, we headed over to Whitefish Mountain Resort. Whitefish Mountain Resort is inside the boundaries of Flathead National Forest, which shares its Northern border with; …"
Tripadvisor,Whitefish,18-Jun,positive,4,"Visited Whitefish and stayed once again at the Kandahar Lodge on the mountain. Whitefish is a small and friendly mountain town which offers multiple activities for the explorer. Every time I go I get that feel good feeling from Whitefish, it is definitely my happy place.; …"
Tripadvisor,Whitefish,18-Jun,positive,5,"My husband, our six children and I had a blast at Whitefish Mountain. We purchased the 6 zip line package and it did not disappoint. The zip lining was extremely fun! Our guides, Hunter and Sydney, provided a safe yet fun experience. They were very friendly, funny and; …"
Tripadvisor,Whitefish,18-Jan,positive,4,"I have been familiar with this place for about 35 years now. Actually worked up there one season. Think it is a great kept secret. However, I am not a fan of what they have done to the place by changing the name and turning it more commercial, I still believe it is a Dimond in; …"
Tripadvisor,Whitefish,18-Jul,positive,4,"Interesting choice of activities, great family fun!! we took the ski lift all the way to the summit and then came back 3.8 mile hiking down the hill. Kids enjoyed the alpine slide. Bonus: white chocolate mocha in the coffee shop!"
Tripadvisor,Whitefish,18-Jul,negative,3,"This was an activity we saved for doing once we got everything else in. :) Glad we did. For $16, you can take a lift chair to the summit and back. You can also hike either up or down if you prefer, but one-way lifts are still $9. If you need some coffee, make sure you grab some; …"
Tripadvisor,Whitefish,18-Jul,negative,3,"Really loved riding the chair lift all the way to the top. It was so convenient and made for beautiful views and photo opportunities. Enjoyed a coffee from the lodge at the top, and looking in the cute little gift shop. Staff is all super friendly. Would definitely do that; …"
Tripadvisor,Whitefish,18-Jul,positive,4,"Spend the day riding the lifts to the top of the mountain, the prices were very reasonable and the views from the top are breathtaking. The Alpine Slide ride to the bottom was just as fun. Great activities at the bottom of the mountain for young children though we were; …"
